State,Scheme,Cycle,N_High,N_Medium,N_Low,P_High,P_Medium,P_Low,K_High,K_Medium,K_Low,OC_High,OC_Medium,OC_Low,P H_Alkaline,P H_Acidic,P H_Neutral,EC_Non Saline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient,Year
MAHARASHTRA,Soil Health Card RKVY,2023-24,5921,35925,198119,63216,130035,46901,161433,68440,10308,52473,55907,131660,7077,3653,229335,237924,2097,113653,126383,101211,138038,116857,122328,229531,9314,130854,108963,212258,26978,2023-24
PUNJAB,Soil Health Card RKVY,2023-24,11,1327,13336,25401,26223,22914,7537,14957,52029,11528,40164,35475,8087,52,79148,84937,2371,61778,13017,61808,13035,65743,8378,74080,684,324,55,36182,38673,2023-24
TAMIL NADU,Soil Health Card RKVY,2023-24,223,1882,249775,88964,110442,52472,116859,106850,28175,7824,22699,221319,12233,6660,232909,247086,4752,167384,84484,153155,98723,142018,109765,244581,7152,141042,110785,186651,65219,2023-24
UTTAR PRADESH,Soil Health Card RKVY,2023-24,559,7431,477027,73680,309780,101534,51203,383721,50095,5249,54410,425344,5443,475,478960,478551,6435,316453,168532,354063,130883,321066,163767,464520,20300,318442,166500,424265,60738,2023-24
MAHARASHTRA,Soil Health Card RKVY,2024-25,4749,56797,434803,121049,263637,111925,328549,146250,21928,92755,127680,275715,10334,13764,471486,493466,2449,221227,275515,201090,295421,239706,256739,476104,20144,274196,222384,435032,61522,2024-25
PUNJAB,Soil Health Card RKVY,2024-25,7,3094,23481,39185,45622,49402,23245,37446,72644,25870,68784,69082,18253,2457,145553,157293,8948,122046,10042,105251,28779,115921,17934,131811,2113,20753,42243,71862,61845,2024-25
TAMIL NADU,Soil Health Card RKVY,2024-25,196,2153,399593,144014,173204,84853,183455,173805,44940,10677,38528,352359,17689,9274,373592,392975,8261,255860,146361,246705,155655,234875,167280,389699,11516,216563,185597,287552,114862,2024-25
UTTAR PRADESH,Soil Health Card RKVY,2024-25,1074,15346,809504,126332,509485,190085,88022,661992,75908,11953,97433,716607,10938,771,812352,814612,10721,546157,279746,629145,196745,556459,269364,787334,35164,567025,258784,760201,65709,2024-25
MAHARASHTRA,Soil Health Card RKVY,2025-26,4523,112137,810089,165976,576830,183890,615272,287398,24067,155441,251611,519639,26497,29675,870761,918684,8019,482186,444444,461011,460316,458778,467252,907757,17844,498458,427829,834189,91866,2025-26
PUNJAB,Soil Health Card RKVY,2025-26,13,2760,14856,25939,38745,38543,15496,36028,45215,29819,86220,104866,22247,3239,208242,224503,9207,86865,9868,85811,17550,84407,18948,98096,5253,31257,26969,48025,55329,2025-26
TAMIL NADU,Soil Health Card RKVY,2025-26,162,3816,388796,124155,172888,95721,179580,169916,43294,13047,43372,336240,13728,11977,367013,387523,5101,227946,164824,221308,171430,235632,156956,382687,9969,199917,192774,268191,124597,2025-26
UTTAR PRADESH,Soil Health Card RKVY,2025-26,626,78467,1522502,326987,972319,302280,153093,1279569,169167,15928,231070,1354709,10217,565,1590984,1569759,32018,1071284,530312,1175929,425670,1021245,580296,1531084,70405,1130026,471537,1445678,155938,2025-26
MAHARASHTRA,Soil Health Card RKVY,2026-27,2510,40446,255676,60382,179340,58904,207798,85456,5375,58048,79453,161118,4158,9838,284635,295684,2845,149888,148742,152877,145504,151153,146777,293444,5147,164566,133964,278696,19509,2026-27
PUNJAB,Soil Health Card RKVY,2026-27,0,0,230,1299,1962,627,1423,1708,757,1002,3668,2538,976,29,6705,7636,71,3768,120,3201,687,2804,1084,2841,1047,2867,815,1277,2611,2026-27
TAMIL NADU,Soil Health Card RKVY,2026-27,9,119,9495,1812,4246,3565,7550,1896,177,576,766,8281,325,417,8881,9202,421,7069,2554,4667,4918,4039,5521,9392,224,4243,5380,8837,773,2026-27
UTTAR PRADESH,Soil Health Card RKVY,2026-27,61,6967,151675,33534,97628,27538,16983,128597,13123,2085,24880,131738,750,42,157911,157835,864,113874,44828,129173,29530,112598,46104,151016,7682,110192,48509,147181,11522,2026-27
