Commodity Group,Commodity,MSP (Rs./Quintal),Kharif Marketing Season Price (Rs./Quintal),Kharif Marketing Season Arrival (Metric Tonnes),Rabi Marketing Season Price (Rs./Quintal),Rabi Marketing Season Arrival (Metric Tonnes),Year
Cereals,Bajra(Pearl Millet/Cumbu),2500.0,3026.53,5492.42,-,-,2023-24
Cereals,Maize,2090.0,2825.9,588.13,-,-,2023-24
Cereals,Paddy(Common),2183.0,2191.44,128345.9,-,-,2023-24
Cereals,Ragi(Finger Millet),3846.0,3291.64,1872.53,-,-,2023-24
Fibre Crops,Cotton,6620.0,6710.26,1156.23,-,-,2023-24
Oil Seeds,Groundnut,6377.0,8277.99,4836.3,-,-,2023-24
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",8635.0,12231.71,1750.97,-,-,2023-24
Oil Seeds,Soyabean,4600.0,8923.47,15.98,-,-,2023-24
Cereals,Bajra(Pearl Millet/Cumbu),2625.0,2839.77,8192.89,-,-,2024-25
Cereals,Jowar(Sorghum),3371.0,2474.72,4178.88,-,-,2024-25
Cereals,Maize,2225.0,2868.28,2647.46,-,-,2024-25
Cereals,Paddy(Common),2300.0,2096.30,613038.61,-,-,2024-25
Cereals,Ragi(Finger Millet),4290.0,3611.15,3995.45,-,-,2024-25
Oil Seeds,Copra,10590.0,-,-,9583.27,525.92,2024-25
Oil Seeds,Groundnut,6783.0,6390.78,3525.53,-,-,2024-25
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9267.0,12507.41,0.22,-,-,2024-25
Oil Seeds,Soyabean,4892.0,8246.24,51.13,-,-,2024-25
Pulses,Black Gram(Urd Beans)(Whole),7400.0,-,-,8852.97,113.96,2024-25
Pulses,Red gram/Arhar/Tur(whole),7550.0,5970.96,272.34,-,-,2024-25
Cereals,Bajra(Pearl Millet/Cumbu),2775.0,3479.84,3304.68,-,-,2025-26
Cereals,Jowar(Sorghum),3699.0,2828.14,2551.28,-,-,2025-26
Cereals,Maize,2400.0,2113.80,36305.33,-,-,2025-26
Cereals,Paddy(Common),2369.0,2109.96,591217.21,-,-,2025-26
Cereals,Ragi(Finger Millet),4886.0,3351.94,4525.13,-,-,2025-26
Oil Seeds,Groundnut,7263.0,6664.69,3346.96,-,-,2025-26
Oil Seeds,Soyabean,5328.0,9217.23,178.75,-,-,2025-26
Pulses,Black Gram(Urd Beans)(Whole),7800.0,-,-,7943.20,161.33,2025-26
Pulses,Red gram/Arhar/Tur(whole),8000.0,5533.15,307.41,-,-,2025-26
