state,district,year,irrigation_type,source,area_hectares
Andhra Pradesh,Adilabad,1998,net,canal_government,19418.0
Andhra Pradesh,Anantapur,1998,net,canal_government,32004.0
Andhra Pradesh,Chittoor,1998,net,canal_government,1551.0
Andhra Pradesh,East Godavari,1998,net,canal_government,187254.0
Andhra Pradesh,Guntur,1998,net,canal_government,304712.0
Andhra Pradesh,Kadapa,1998,net,canal_government,21856.0
Andhra Pradesh,Karimnagar,1998,net,canal_government,52956.0
Andhra Pradesh,Khammam,1998,net,canal_government,63651.0
Andhra Pradesh,Krishna,1998,net,canal_government,236541.0
Andhra Pradesh,Kurnool,1998,net,canal_government,78366.0
Andhra Pradesh,Mahbubnagar,1998,net,canal_government,13742.0
Andhra Pradesh,Medak,1998,net,canal_government,2917.0
Andhra Pradesh,Nalgonda,1998,net,canal_government,71992.0
Andhra Pradesh,Nizamabad,1998,net,canal_government,24073.0
Andhra Pradesh,Prakasam,1998,net,canal_government,77301.0
Andhra Pradesh,Rangareddi,1998,net,canal_government,2866.0
Andhra Pradesh,Spsr Nellore,1998,net,canal_government,81449.0
Andhra Pradesh,Srikakulam,1998,net,canal_government,88815.0
Andhra Pradesh,Visakhapatanam,1998,net,canal_government,47952.0
Andhra Pradesh,Vizianagaram,1998,net,canal_government,34960.0
Andhra Pradesh,Warangal,1998,net,canal_government,1746.0
Andhra Pradesh,West Godavari,1998,net,canal_government,188157.0
Arunachal Pradesh,Changlang,1998,net,canal_government,0.0
Arunachal Pradesh,Dibang Valley,1998,net,canal_government,0.0
Arunachal Pradesh,East Kameng,1998,net,canal_government,0.0
Arunachal Pradesh,East Siang,1998,net,canal_government,0.0
Arunachal Pradesh,Lohit,1998,net,canal_government,0.0
Arunachal Pradesh,Lower Subansiri,1998,net,canal_government,0.0
Arunachal Pradesh,Papum Pare,1998,net,canal_government,0.0
Arunachal Pradesh,Tawang,1998,net,canal_government,0.0
Arunachal Pradesh,Tirap,1998,net,canal_government,0.0
Arunachal Pradesh,Upper Siang,1998,net,canal_government,0.0
Arunachal Pradesh,Upper Subansiri,1998,net,canal_government,0.0
Arunachal Pradesh,West Kameng,1998,net,canal_government,0.0
Arunachal Pradesh,West Siang,1998,net,canal_government,0.0
Bihar,Araria,1998,net,canal_government,12100.0
Bihar,Aurangabad,1998,net,canal_government,115270.0
Bihar,Banka,1998,net,canal_government,27774.0
Bihar,Begusarai,1998,net,canal_government,0.0
Bihar,Bhagalpur,1998,net,canal_government,2843.0
Bihar,Bhojpur,1998,net,canal_government,73821.0
Bihar,Bokaro,1998,net,canal_government,0.0
Bihar,Buxar,1998,net,canal_government,67857.0
Bihar,Chatra,1998,net,canal_government,524.0
Bihar,Darbhanga,1998,net,canal_government,0.0
Bihar,Deoghar,1998,net,canal_government,0.0
Bihar,Dhanbad,1998,net,canal_government,14.0
Bihar,Dumka,1998,net,canal_government,129.0
Bihar,East Singhbum,1998,net,canal_government,108.0
Bihar,Garhwa,1998,net,canal_government,4575.0
Bihar,Gaya,1998,net,canal_government,20443.0
Bihar,Giridih,1998,net,canal_government,0.0
Bihar,Godda,1998,net,canal_government,0.0
Bihar,Gopalganj,1998,net,canal_government,43280.0
Bihar,Gumla,1998,net,canal_government,626.0
Bihar,Hazaribagh,1998,net,canal_government,883.0
Bihar,Jamui,1998,net,canal_government,8693.0
Bihar,Jehanabad,1998,net,canal_government,28461.0
Bihar,Kaimur (Bhabua),1998,net,canal_government,83697.0
Bihar,Katihar,1998,net,canal_government,6823.0
Bihar,Khagaria,1998,net,canal_government,0.0
Bihar,Kishanganj,1998,net,canal_government,0.0
Bihar,Koderma,1998,net,canal_government,0.0
Bihar,Lakhisarai,1998,net,canal_government,3464.0
Bihar,Lohardaga,1998,net,canal_government,175.0
Bihar,Madhepura,1998,net,canal_government,42225.0
Bihar,Madhubani,1998,net,canal_government,6475.0
Bihar,Munger,1998,net,canal_government,17618.0
Bihar,Muzaffarpur,1998,net,canal_government,1768.0
Bihar,Nalanda,1998,net,canal_government,5447.0
Bihar,Nawada,1998,net,canal_government,10580.0
Bihar,Pakur,1998,net,canal_government,0.0
Bihar,Pashchim Champaran,1998,net,canal_government,93599.0
Bihar,Patna,1998,net,canal_government,0.0
Bihar,Purbi Champaran,1998,net,canal_government,10870.0
Bihar,Purnia,1998,net,canal_government,16623.0
Bihar,Ranchi,1998,net,canal_government,2958.0
Bihar,Rohtas,1998,net,canal_government,209626.0
Bihar,Saharsa,1998,net,canal_government,15447.0
Bihar,Sahebganj,1998,net,canal_government,0.0
Bihar,Samastipur,1998,net,canal_government,0.0
Bihar,Saran,1998,net,canal_government,17513.0
Bihar,Sheikhpura,1998,net,canal_government,9914.0
Bihar,Sheohar,1998,net,canal_government,439.0
Bihar,Sitamarhi,1998,net,canal_government,1306.0
Bihar,Siwan,1998,net,canal_government,22131.0
Bihar,Supaul,1998,net,canal_government,34450.0
Bihar,Vaishali,1998,net,canal_government,0.0
Bihar,West Singhbhum,1998,net,canal_government,3598.0
